date,volume,open,open_difference_daily,open_difference_daily_percentage,open_difference_weekly,open_difference_weekly_percentage,close,close_difference_daily,close_difference_daily_percentage,close_difference_weekly,close_difference_weekly_percentage,low,low_difference_daily,low_difference_daily_percentage,low_difference_weekly,low_difference_weekly_percentage,high,high_difference_daily,high_difference_daily_percentage,high_difference_weekly,high_difference_weekly_percentage
2020/03/27,71887050.0000,101.0000,-8.478,-7.744,13.36,15.2442,102.8720,-2.76,-2.6128,17.366,20.3097,98.8060,-3.644,-3.5569,13.648,16.0267,105.1600,-6.84,-6.1071,9.76,10.2306
2020/03/30,59990350.0000,102.0520,1.052,1.0416,15.332,17.6799,100.4260,-2.446,-2.3777,13.568,15.6209,98.2460,-0.56,-0.5668,16.146,19.6663,103.3294,-1.8306,-1.7408,14.9294,16.8885
2020/03/31,88857450.0000,100.2500,-1.802,-1.7658,4.79,5.0178,104.8000,4.374,4.3554,3.8,3.7624,99.4000,1.154,1.1746,4.6,4.8523,108.5920,5.2626,5.093,5.854,5.698
2020/04/01,66765900.0000,100.8000,0.55,0.5486,-8.25,-7.5653,96.3120,-8.488,-8.0992,-11.538,-10.6982,95.0200,-4.38,-4.4064,-7.202,-7.0455,102.7910,-5.801,-5.342,-8.609,-7.728
2020/04/02,99292150.0000,96.2060,-4.594,-4.5575,-13.272,-12.123,90.8940,-5.418,-5.6255,-14.738,-13.9522,89.2800,-5.74,-6.0408,-13.17,-12.8551,98.8520,-3.939,-3.832,-13.148,-11.7393
2020/04/03,112810400.0000,101.9000,5.694,5.9185,0.9,0.8911,96.0020,5.108,5.6197,-6.87,-6.6782,93.6780,4.398,4.9261,-5.128,-5.19,103.0980,4.246,4.2953,-2.062,-1.9608
2020/04/06,74509200.0000,102.2400,0.34,0.3337,0.188,0.1842,103.2480,7.246,7.5478,2.822,2.81,99.5920,5.914,6.3131,1.346,1.37,104.2000,1.102,1.0689,0.8706,0.8425
2020/04/07,89598900.0000,109.0000,6.76,6.6119,8.75,8.7282,109.0900,5.842,5.6582,4.29,4.0935,106.4680,6.876,6.9042,7.068,7.1107,113.0000,8.8,8.4453,4.408,4.0592
2020/04/08,63280100.0000,110.8400,1.84,1.6881,10.04,9.9603,109.7680,0.678,0.6215,13.456,13.9713,106.6660,0.198,0.186,11.646,12.2564,111.4416,-1.5584,-1.3791,8.6506,8.4157
2020/04/09,68250000.0000,112.4180,1.578,1.4237,16.212,16.8513,114.6000,4.832,4.402,23.706,26.0809,111.4220,4.756,4.4588,22.142,24.8006,115.0364,3.5948,3.2257,16.1844,16.3724
